name: Yul Brynner         , street: Hertzel   , house:   3, appartment:   1, floor:   1
name: Ben Kingsley        , street: Hertzel   , house:   9, appartment:   9, floor:   4
name: Kevin Spacey        , street: Allenby   , house:   8, appartment:   5, floor:   2
name: Jack Lemmon         , street: Dizengoff , house:   1, appartment:   4, floor:   2
name: Sally Field         , street: Dizengoff , house:   3, appartment:   7, floor:   3
name: Jennifer Lawrence   , street: Dizengoff , house:   1, appartment:   7, floor:   3
name: Julia Roberts       , street: Dizengoff , house:   5, appartment:   5, floor:   2
name: Rod Steiger         , street: Basel     , house:   4, appartment:   3, floor:   2
name: Kate Winslet        , street: Weizmann  , house:  10, appartment:   6, floor:   3
name: John Wayne          , street: Weizmann  , house:   2, appartment:   8, floor:   3
name: Jon Voight          , street: Allenby   , house:   1, appartment:   3, floor:   2
name: Helen Mirren        , street: Weizmann  , house:   3, appartment:   4, floor:   2
name: Joanne Woodward     , street: Weizmann  , house:   9, appartment:   1, floor:   1
name: Meryl Streep        , street: Allenby   , house:   8, appartment:   1, floor:   1
name: Maggie Smith        , street: Dizengoff , house:   4, appartment:   5, floor:   2
name: Tom Hanks           , street: Dizengoff , house:   1, appartment:   9, floor:   4
name: Helen Hunt          , street: Hertzel   , house:   7, appartment:   4, floor:   2
name: Ellen Burstyn       , street: Basel     , house:   5, appartment:   6, floor:   3
name: Gwyneth Paltrow     , street: Weizmann  , house:   8, appartment:   6, floor:   3
name: Peter Finch         , street: Basel     , house:   8, appartment:   6, floor:   3
name: Cher                , street: Allenby   , house:   8, appartment:   3, floor:   2
name: Glenda Jackson      , street: Dizengoff , house:   4, appartment:   4, floor:   2
name: Humphrey Bogart     , street: Hertzel   , house:   5, appartment:   1, floor:   1
name: Nicole Kidman       , street: Weizmann  , house:   5, appartment:   7, floor:   3
